,in,out,fee
0,2023-04-01 00:02:34,2023-04-01 00:08:29,77
1,2023-04-01 00:28:49,2023-04-01 01:13:53,308
2,2023-04-01 00:34:09,2023-04-01 00:43:23,77
3,2023-04-01 01:27:51,2023-04-01 01:50:50,154
4,2023-04-01 01:27:58,2023-04-01 01:50:33,154
5,2023-04-01 02:14:31,2023-04-01 02:17:53,77
6,2023-04-01 02:40:18,2023-04-01 02:56:41,154
7,2023-04-01 04:31:07,2023-04-01 04:41:05,77
8,2023-04-01 06:19:36,2023-04-01 13:09:23,1500
9,2023-04-01 06:22:22,2023-04-01 06:36:32,77
10,2023-04-01 06:37:54,2023-04-01 07:29:41,308
11,2023-04-01 07:50:14,2023-04-01 07:55:46,77
12,2023-04-01 08:04:51,2023-04-01 10:17:20,693
13,2023-04-01 08:08:04,2023-04-01 08:14:51,77
14,2023-04-01 08:14:43,2023-04-01 08:22:17,77
15,2023-04-01 08:36:02,2023-04-01 08:45:12,77
16,2023-04-01 08:46:42,2023-04-01 08:52:15,77
17,2023-04-01 09:04:26,2023-04-01 10:14:48,385
18,2023-04-01 09:14:34,2023-04-01 09:42:03,154
19,2023-04-01 09:22:46,2023-04-01 09:28:54,77
20,2023-04-01 09:37:33,2023-04-01 09:45:16,77
21,2023-04-01 09:42:58,2023-04-01 10:26:58,231
22,2023-04-01 10:11:34,2023-04-01 15:46:15,1500
23,2023-04-01 10:11:37,2023-04-01 11:03:22,308
24,2023-04-01 10:12:38,2023-04-01 15:46:17,1500
25,2023-04-01 10:15:37,2023-04-01 10:28:08,77
26,2023-04-01 10:27:36,2023-04-01 11:10:09,231
27,2023-04-01 10:29:24,2023-04-01 10:44:09,77
28,2023-04-01 10:45:54,2023-04-01 10:55:38,0
29,2023-04-01 10:49:17,2023-04-01 10:51:06,77
30,2023-04-01 10:49:53,2023-04-01 10:58:08,77
31,2023-04-01 10:51:31,2023-04-01 14:29:02,1155
32,2023-04-01 10:57:53,2023-04-01 20:15:05,1962
33,2023-04-01 10:58:25,2023-04-01 11:06:32,77
34,2023-04-01 11:00:26,2023-04-01 11:34:44,231
35,2023-04-01 11:06:46,2023-04-01 13:41:18,847
36,2023-04-01 11:08:19,2023-04-01 11:49:32,231
37,2023-04-01 11:15:19,2023-04-01 18:38:01,1500
38,2023-04-01 11:15:24,2023-04-01 22:14:57,2424
39,2023-04-01 11:15:31,2023-04-01 11:26:15,77
40,2023-04-01 11:19:01,2023-04-01 11:45:11,154
41,2023-04-01 11:20:07,2023-04-01 11:44:47,154
42,2023-04-01 11:21:15,2023-04-01 11:30:44,77
43,2023-04-01 11:23:34,2023-04-01 11:29:30,77
44,2023-04-01 11:32:26,2023-04-01 16:25:25,1500
45,2023-04-01 11:32:44,2023-04-01 11:45:06,77
46,2023-04-01 11:40:46,2023-04-01 12:20:59,231
47,2023-04-01 11:47:30,2023-04-01 12:10:29,154
48,2023-04-01 11:54:43,2023-04-01 12:30:54,231
49,2023-04-01 12:03:37,2023-04-01 12:15:21,77
50,2023-04-01 12:05:11,2023-04-01 13:43:20,539
51,2023-04-01 12:05:11,2023-04-01 13:42:32,539
52,2023-04-01 12:21:45,2023-04-01 14:04:57,539
53,2023-04-01 12:29:06,2023-04-01 14:49:46,770
