,in,out,fee
0,2022-04-01 00:03:15,2022-04-01 00:11:02,77
1,2022-04-01 08:04:31,2022-04-01 13:29:23,77
2,2022-04-01 08:30:51,2022-04-01 08:34:19,77
3,2022-04-01 08:45:58,2022-04-01 08:56:05,77
4,2022-04-01 09:28:40,2022-04-01 09:37:33,77
5,2022-04-01 09:32:40,2022-04-01 09:43:12,77
6,2022-04-01 10:29:31,2022-04-01 16:09:59,1500
7,2022-04-01 10:41:59,2022-04-01 10:50:02,77
8,2022-04-01 11:42:58,2022-04-01 14:53:59,1001
9,2022-04-01 12:43:47,2022-04-01 12:54:52,77
10,2022-04-01 12:44:15,2022-04-01 14:10:03,462
11,2022-04-01 13:06:02,2022-04-01 13:16:35,77
12,2022-04-01 13:12:23,2022-04-01 13:22:33,77
13,2022-04-01 13:17:13,2022-04-01 13:25:54,77
14,2022-04-01 13:25:32,2022-04-01 14:47:01,462
15,2022-04-01 13:33:57,2022-04-01 22:27:49,1808
16,2022-04-01 15:20:48,2022-04-01 15:28:20,77
17,2022-04-01 15:58:36,2022-04-01 16:44:45,308
18,2022-04-01 16:20:46,2022-04-01 17:29:15,385
19,2022-04-01 16:50:21,2022-04-01 17:09:33,154
20,2022-04-01 17:02:33,2022-04-01 17:13:11,77
21,2022-04-01 17:02:59,2022-04-01 17:14:34,77
22,2022-04-01 17:07:38,2022-04-01 17:32:35,154
23,2022-04-01 17:34:14,2022-04-01 18:50:09,462
24,2022-04-01 17:40:22,2022-04-01 18:07:46,154
25,2022-04-01 17:43:06,2022-04-01 17:57:05,77
26,2022-04-01 17:54:02,2022-04-01 18:06:59,77
27,2022-04-01 19:43:41,2022-04-01 19:59:05,154
28,2022-04-01 19:44:50,2022-04-01 20:03:10,154
29,2022-04-01 21:23:29,2022-04-01 21:52:38,154
30,2022-04-01 21:31:02,2022-04-01 21:40:56,77
31,2022-04-01 21:48:12,2022-04-01 21:55:30,77
32,2022-04-01 21:48:57,2022-04-01 22:04:53,154
33,2022-04-01 22:10:25,2022-04-01 22:17:47,77
34,2022-04-01 22:14:55,2022-04-01 22:19:44,77
35,2022-04-01 22:50:58,2022-04-01 22:57:08,77
36,2022-04-01 23:48:55,2022-04-02 00:00:37,77
37,2022-04-01 23:56:58,2022-04-02 00:05:15,77
38,2022-04-02 00:28:29,2022-04-02 00:37:22,77
39,2022-04-02 00:45:55,2022-04-02 00:52:18,77
40,2022-04-02 05:50:21,2022-04-02 06:37:54,308
41,2022-04-02 05:51:01,2022-04-02 06:38:28,308
42,2022-04-02 05:52:55,2022-04-02 06:29:04,231
43,2022-04-02 06:35:52,2022-04-02 07:48:51,385
44,2022-04-02 07:04:35,2022-04-02 07:11:09,77
45,2022-04-02 07:42:02,2022-04-02 07:48:59,77
46,2022-04-02 08:48:17,2022-04-02 08:55:53,77
47,2022-04-02 08:57:29,2022-04-02 16:48:43,1500
48,2022-04-02 08:58:09,2022-04-02 16:44:28,1500
49,2022-04-02 09:44:55,2022-04-02 09:52:06,77
50,2022-04-02 09:49:02,2022-04-02 09:57:51,77
51,2022-04-02 09:59:25,2022-04-02 15:30:24,1500
52,2022-04-02 10:05:26,2022-04-02 10:36:09,231
53,2022-04-02 10:14:00,2022-04-02 16:08:55,1500
54,2022-04-02 10:15:17,2022-04-02 16:09:05,1500
55,2022-04-02 10:19:56,2022-04-02 11:43:00,462
56,2022-04-02 10:32:49,2022-04-02 15:21:28,1500
57,2022-04-02 10:36:40,2022-04-02 10:49:50,77
58,2022-04-02 10:47:12,2022-04-02 15:21:32,1463
59,2022-04-02 10:47:17,2022-04-02 10:57:18,77
60,2022-04-02 10:56:12,2022-04-02 11:22:27,154
61,2022-04-02 10:56:51,2022-04-02 11:22:38,154
62,2022-04-02 10:58:10,2022-04-02 11:08:46,77
63,2022-04-02 11:16:41,2022-04-02 14:07:01,924
64,2022-04-02 11:23:21,2022-04-02 20:55:48,2039
65,2022-04-02 11:25:12,2022-04-02 11:36:57,77
66,2022-04-02 11:27:14,2022-04-02 14:48:41,1078
67,2022-04-02 11:29:54,2022-04-02 14:27:24,924
68,2022-04-02 11:51:44,2022-04-02 14:48:34,924
69,2022-04-02 12:35:12,2022-04-02 12:42:43,77
70,2022-04-02 12:44:01,2022-04-02 13:00:13,154
71,2022-04-02 12:53:21,2022-04-02 14:46:28,616
72,2022-04-02 12:53:30,2022-04-02 14:46:19,616
73,2022-04-02 13:03:10,2022-04-02 13:12:10,77
74,2022-04-02 13:14:40,2022-04-02 13:24:16,77
75,2022-04-02 13:27:14,2022-04-02 13:35:50,77
76,2022-04-02 13:49:47,2022-04-02 16:34:04,847
77,2022-04-02 14:12:02,2022-04-02 16:03:25,616
78,2022-04-02 14:27:18,2022-04-02 21:13:19,1500
79,2022-04-02 14:28:21,2022-04-02 16:10:08,539
80,2022-04-02 14:43:46,2022-04-02 15:12:17,154
81,2022-04-02 14:52:34,2022-04-02 17:15:49,770
82,2022-04-02 14:56:11,2022-04-02 15:33:39,231
83,2022-04-02 15:01:00,2022-04-02 17:09:57,693
84,2022-04-02 15:55:13,2022-04-02 16:08:04,77
85,2022-04-02 16:27:49,2022-04-02 16:38:53,77
86,2022-04-02 16:42:27,2022-04-02 17:07:51,154
87,2022-04-02 18:01:07,2022-04-02 18:24:05,154
88,2022-04-02 18:13:43,2022-04-02 18:28:54,154
89,2022-04-02 18:18:05,2022-04-02 22:19:13,1309
90,2022-04-02 18:38:11,2022-04-02 18:45:15,77
91,2022-04-02 19:17:52,2022-04-02 19:27:50,77
